# utc: 2026-07-23T17:05:00+00:00
# cpu: AMD EPYC 7B12 64-Core Processor
# threads: 128
# core_quota: 61.44
# ram_gb: 257
# clang: Ubuntu clang version 18.1.8 (++20240731024944+3b5b5c1ec4a3-1~exp1~20240731145000.144)
leg,N,ms,gflops,note
flow-cuda-cap-kernel-f64,2048,55.7536,308.14,out=-1045/51275 k0_0:0.2795 k0_0:0.0048 k0_2:0.1180 k0_3:0.1420 k0_4:55.1898 k0_5:0.0137 k0_5:0.0058 total:55.7537
flow-cuda-cap-kernel-f64,4096,521.7400,263.42,out=74348/-302529 k0_0:0.3917 k0_0:0.0050 k0_2:0.5532 k0_3:0.5461 k0_4:526.0025 k0_5:0.0177 k0_5:0.0075 total:527.5237
flow-cuda-cap-kernel-f32,16,0.3438,0.02,out=1815/6944 k0_0:0.2746 k0_0:0.0051 k0_2:0.0165 k0_3:0.0122 k0_4:0.0151 k0_5:0.0148 k0_5:0.0068 total:0.3451
flow-cuda-cap-kernel-f32,64,0.3331,1.57,out=1047/2107 k0_0:0.2764 k0_0:0.0049 k0_2:0.0142 k0_3:0.0148 k0_4:0.0158 k0_5:0.0145 k0_5:0.0067 total:0.3472
flow-cuda-cap-kernel-f32,128,0.3415,12.28,out=-7312/-933 k0_0:0.2742 k0_0:0.0051 k0_2:0.0141 k0_3:0.0148 k0_4:0.0199 k0_5:0.0143 k0_5:0.0073 total:0.3498
flow-cuda-cap-kernel-f32,256,0.3794,88.44,out=-3694/10946 k0_0:0.2878 k0_0:0.0055 k0_2:0.0145 k0_3:0.0163 k0_4:0.0595 k0_5:0.0124 k0_5:0.0060 total:0.4018
flow-cuda-cap-kernel-f32,512,0.6583,407.77,out=-22592/-38634 k0_0:0.2749 k0_0:0.0053 k0_2:0.0160 k0_3:0.0139 k0_4:0.3488 k0_5:0.0153 k0_5:0.0072 total:0.6814
flow-cuda-cap-kernel-f32,1024,2.9457,729.02,out=11107/91690 k0_0:0.2756 k0_0:0.0057 k0_2:0.0222 k0_3:0.0209 k0_4:2.6036 k0_5:0.0154 k0_5:0.0079 total:2.9513
flow-cuda-cap-kernel-f32,2048,21.0811,814.94,out=-1045/51275 k0_0:0.3002 k0_0:0.0050 k0_2:0.0713 k0_3:0.0956 k0_4:20.6084 k0_5:0.0172 k0_5:0.0071 total:21.1047
flow-cuda-cap-kernel-f32,4096,398.2239,345.13,out=74348/-302529 k0_0:0.3864 k0_0:0.0048 k0_2:0.3656 k0_3:0.3757 k0_4:398.5084 k0_5:0.0188 k0_5:0.0070 total:399.6667
flow-llvm-cap-compute-f64,16,0.2134,0.04,out=1815/6944 total:0.2134
flow-llvm-cap-compute-f64,64,0.3071,1.71,out=1047/2107 total:0.3071
flow-llvm-cap-compute-f64,128,0.3296,12.73,out=-7312/-933 total:0.5278
flow-llvm-cap-compute-f64,256,0.8935,37.55,out=-3694/10946 total:1.0641
flow-llvm-cap-compute-f64,512,5.1366,52.26,out=-22592/-38634 total:5.1366
flow-llvm-cap-compute-f64,1024,23.3347,92.03,out=11107/91690 total:26.6101
flow-llvm-cap-compute-f32,16,0.1979,0.04,out=1815/6944 total:0.2632
flow-llvm-cap-compute-f32,64,0.2847,1.84,out=1047/2107 total:0.2882
flow-llvm-cap-compute-f32,128,0.3208,13.07,out=-7312/-933 total:0.3600
flow-llvm-cap-compute-f32,256,0.6999,47.94,out=-3694/10946 total:0.8625
flow-llvm-cap-compute-f32,512,3.0470,88.10,out=-22592/-38634 total:4.8024
flow-llvm-cap-compute-f32,1024,15.9381,134.74,out=11107/91690 total:15.9381
naive-cuda,64,0.0041,127.88,1047.0 clast=2107.0
naive-cuda,128,0.0082,511.50,-7312.0 clast=-933.0
naive-cuda,256,0.0308,1089.43,-3694.0 clast=10946.0
naive-cuda,512,0.2653,1011.82,-22592.0 clast=-38634.0
naive-cuda,1024,2.3040,932.07,11107.0 clast=91690.0
naive-cuda,2048,18.5335,926.96,-1045.0 clast=51275.0
naive-cuda,4096,435.2010,315.81,74348.0 clast=-302529.0
naive-cuda-f64,64,0.0062,84.56,1047.0 clast=2107.0
naive-cuda-f64,128,0.0205,204.60,-7312.0 clast=-933.0
naive-cuda-f64,256,0.1127,297.73,-3694.0 clast=10946.0
naive-cuda-f64,512,0.8566,313.37,-22592.0 clast=-38634.0
naive-cuda-f64,1024,6.7712,317.15,11107.0 clast=91690.0
naive-cuda-f64,2048,54.0913,317.61,-1045.0 clast=51275.0
naive-cuda-f64,4096,577.8572,237.84,74348.0 clast=-302529.0
cublas,64,0.0122,42.97,1047.0 clast=2107.0
cublas,128,0.0121,346.64,-7312.0 clast=-933.0
cublas,256,0.0181,1853.84,-3694.0 clast=10946.0
cublas,512,0.0761,3527.40,-22592.0 clast=-38634.0
cublas,1024,0.5307,4046.51,11107.0 clast=91690.0
cublas,2048,4.1429,4146.82,-1045.0 clast=51275.0
cublas,4096,33.5915,4091.48,74348.0 clast=-302529.0
numpy,64,0.0146,35.91,1047.0 clast=2107.0
numpy,128,0.0364,115.23,-7312.0 clast=-933.0
numpy,256,0.1297,258.71,-3694.0 clast=10946.0
numpy,512,0.6307,425.62,-22592.0 clast=-38634.0
numpy,1024,3.1403,683.85,11107.0 clast=91690.0
numpy,2048,18.3821,934.60,-1045.0 clast=51275.0
numpy,4096,119.0169,1154.79,74348.0 clast=-302529.0
rust-naive,64,0.3319,1.58,1047.0 clast=2107.0
rust-naive,128,2.5719,1.63,-7312.0 clast=-933.0
rust-naive,256,19.9759,1.68,-3694.0 clast=10946.0
rust-naive,512,225.8463,1.19,-22592.0 clast=-38634.0
rust-naive,1024,7054.9073,0.30,11107.0 clast=91690.0
cpp-naive-f32,64,0.4051,1.29,1047.0 clast=2107.0
cpp-naive-f32,128,2.6243,1.60,-7312.0 clast=-933.0
cpp-naive-f32,256,23.3653,1.44,-3694.0 clast=10946.0
cpp-naive-f32,512,307.2463,0.87,-22592.0 clast=-38634.0
cpp-naive-f32,1024,7563.1453,0.28,11107.0 clast=91690.0
cpp-naive-f64,64,0.4373,1.20,1047.0 clast=2107.0
cpp-naive-f64,128,2.6808,1.56,-7312.0 clast=-933.0
cpp-naive-f64,256,38.6039,0.87,-3694.0 clast=10946.0
cpp-naive-f64,512,941.8102,0.29,-22592.0 clast=-38634.0
cpp-naive-f64,1024,7636.5387,0.28,11107.0 clast=91690.0
chapel-f32,64,0.0610,8.59,1047.0 clast=2107.0
chapel-f32,128,0.1500,27.96,-7312.0 clast=-933.0
chapel-f32,256,0.9580,35.03,-3694.0 clast=10946.0
chapel-f32,512,9.0960,29.51,-22592.0 clast=-38634.0
chapel-f32,1024,117.4270,18.29,11107.0 clast=91690.0
chapel-f64,64,0.0840,6.24,1047.0 clast=2107.0
chapel-f64,128,0.1790,23.43,-7312.0 clast=-933.0
chapel-f64,256,1.5350,21.86,-3694.0 clast=10946.0
chapel-f64,512,14.3140,18.75,-22592.0 clast=-38634.0
chapel-f64,1024,118.2560,18.16,11107.0 clast=91690.0
