# utc: 2026-07-23T17:05:00+00:00
# cpu: AMD EPYC 7B12 64-Core Processor
# threads: 128
# core_quota: 61.44
# ram_gb: 257
# clang: Ubuntu clang version 18.1.8 (++20240731024944+3b5b5c1ec4a3-1~exp1~20240731145000.144)
leg,N,ms,gflops,note
flow-cuda,4,279.2380,0.00,out=-275/3748
flow-cuda,16,453.0703,0.00,out=1815/6944
flow-cuda,32,1688.3503,0.00,out=-1219/4392
flow-cuda,64,11847.8365,0.00,out=1047/2107
flow-cuda,128,98189.7895,0.00,out=-7312/-933
flow-llvm,4,5.6030,0.00,out=-275/3748
flow-llvm,16,13.3434,0.00,out=1815/6944
flow-llvm,32,10.9852,0.01,out=-1219/4392
flow-llvm,64,16.5497,0.03,out=1047/2107
flow-cuda-cap-f64,16,282.7616,0.00,out=1815/6944
flow-cuda-cap-f64,64,316.4216,0.00,out=1047/2107
flow-cuda-cap-f64,128,317.5795,0.01,out=-7312/-933
flow-cuda-cap-f64,256,285.1622,0.12,out=-3694/10946
flow-cuda-cap-f64,512,268.3590,1.00,out=-22592/-38634
flow-cuda-cap-f64,1024,296.9607,7.23,out=11107/91690
flow-cuda-cap-f64,2048,398.5766,43.10,out=-1045/51275
flow-cuda-cap-f64,4096,870.3245,157.92,out=74348/-302529
flow-cuda-cap-f32,16,279.0644,0.00,out=1815/6944
flow-cuda-cap-f32,64,252.0448,0.00,out=1047/2107
flow-cuda-cap-f32,128,329.4443,0.01,out=-7312/-933
flow-cuda-cap-f32,256,317.6163,0.11,out=-3694/10946
flow-cuda-cap-f32,512,290.8755,0.92,out=-22592/-38634
flow-cuda-cap-f32,1024,284.7917,7.54,out=11107/91690
flow-cuda-cap-f32,2048,316.3220,54.31,out=-1045/51275
flow-cuda-cap-f32,4096,738.8310,186.02,out=74348/-302529
flow-llvm-cap-f64,16,12.6008,0.00,out=1815/6944
flow-llvm-cap-f64,64,12.0715,0.04,out=1047/2107
flow-llvm-cap-f64,128,12.2986,0.34,out=-7312/-933
flow-llvm-cap-f64,256,13.7587,2.44,out=-3694/10946
flow-llvm-cap-f64,512,18.6336,14.41,out=-22592/-38634
flow-llvm-cap-f64,1024,41.8974,51.26,out=11107/91690
flow-llvm-cap-f32,16,11.9107,0.00,out=1815/6944
flow-llvm-cap-f32,64,12.9033,0.04,out=1047/2107
flow-llvm-cap-f32,128,13.7390,0.31,out=-7312/-933
flow-llvm-cap-f32,256,14.0020,2.40,out=-3694/10946
flow-llvm-cap-f32,512,16.1662,16.60,out=-22592/-38634
flow-llvm-cap-f32,1024,30.6192,70.14,out=11107/91690
flow-llvm-cap-f64-1t,512,34.1059,7.87,out=-22592/-38634
flow-llvm-cap-f64-1t,1024,150.4644,14.27,out=11107/91690
flow-llvm-cap-f32-1t,512,22.1010,12.15,out=-22592/-38634
flow-llvm-cap-f32-1t,1024,84.9068,25.29,out=11107/91690
flow-cuda-cap-kernel-f64,16,0.3372,0.02,out=1815/6944 k0_0:0.2673 k0_0:0.0052 k0_2:0.0136 k0_3:0.0156 k0_4:0.0162 k0_5:0.0115 k0_5:0.0078 total:0.3372
flow-cuda-cap-kernel-f64,64,0.3429,1.53,out=1047/2107 k0_0:0.2692 k0_0:0.0050 k0_2:0.0141 k0_3:0.0151 k0_4:0.0209 k0_5:0.0124 k0_5:0.0074 total:0.3442
flow-cuda-cap-kernel-f64,128,0.3606,11.63,out=-7312/-933 k0_0:0.2725 k0_0:0.0051 k0_2:0.0169 k0_3:0.0125 k0_4:0.0354 k0_5:0.0124 k0_5:0.0058 total:0.3605
flow-cuda-cap-kernel-f64,256,0.4497,74.62,out=-3694/10946 k0_0:0.2732 k0_0:0.0049 k0_2:0.0158 k0_3:0.0170 k0_4:0.1314 k0_5:0.0131 k0_5:0.0068 total:0.4623
flow-cuda-cap-kernel-f64,512,1.2182,220.35,out=-22592/-38634 k0_0:0.2632 k0_0:0.0057 k0_2:0.0188 k0_3:0.0180 k0_4:0.8930 k0_5:0.0142 k0_5:0.0068 total:1.2197
flow-cuda-cap-kernel-f64,1024,7.2553,295.99,out=11107/91690 k0_0:0.2689 k0_0:0.0050 k0_2:0.0240 k0_3:0.0252 k0_4:6.9126 k0_5:0.0127 k0_5:0.0069 total:7.2552
